snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component
"2017","24500","387500",1.237e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","25500","386500",1.852e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","25500","387500",5.682e-09,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","26500","383500",7.23e-09,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","26500","385500",6.251e-09,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","26500","386500",1.613e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","27500","382500",4.097e-09,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","27500","383500",2.624e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","27500","385500",2.44e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","28500","380500",5.805e-07,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","28500","381500",2.06e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","28500","382500",1.553e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","28500","383500",2.69e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","28500","384500",2.08e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","28500","385500",4.481e-09,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","29500","379500",1.813e-07,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","29500","380500",2.234e-07,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","29500","382500",9.078e-09,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","29500","383500",8.872e-09,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
"2017","29500","384500",3.615e-08,0.763,2.8,"1000",1.4,"1","3864","528","0",NH3
